Tournament,Stage,Match Type,Map,Agent,Pick Rate
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,raze,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,chamber,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,kayo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,killjoy,25%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,cypher,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,tejo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,skye,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,waylay,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,sage,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,breach,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,brimstone,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Pearl,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,neon,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,fade,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,phoenix,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,omen,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,astra,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,viper,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,vyse,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,sova,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,jett,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,harbor,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,raze,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,chamber,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,kayo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,killjoy,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,cypher,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,tejo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,skye,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,waylay,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,sage,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,breach,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,brimstone,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Lotus,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,neon,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,fade,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,phoenix,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,omen,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,astra,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,viper,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,vyse,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,sova,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,jett,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,harbor,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,raze,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,chamber,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,kayo,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,killjoy,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,cypher,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,tejo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,skye,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,waylay,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,sage,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,breach,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,brimstone,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Breeze,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,neon,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,fade,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,phoenix,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,omen,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,astra,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,viper,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,vyse,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,sova,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,jett,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,harbor,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,raze,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,chamber,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,kayo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,killjoy,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,cypher,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,tejo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,skye,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,waylay,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,sage,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,breach,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,brimstone,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Round 1,Split,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,neon,80%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,omen,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,vyse,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,sova,40%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,fade,40%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,viper,40%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,astra,20%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,brimstone,20%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,raze,20%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,phoenix,20%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,harbor,20%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,jett,20%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,breach,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,sage,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,tejo,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,kayo,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,skye,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,cypher,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,waylay,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,chamber,10%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,killjoy,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,All Maps,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,neon,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,omen,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,vyse,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,sova,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,fade,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,viper,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,astra,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,brimstone,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,raze,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,phoenix,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,harbor,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,jett,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,breach,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,sage,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,tejo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,kayo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,skye,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,cypher,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,waylay,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,chamber,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,killjoy,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Ascent,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,neon,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,omen,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,vyse,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,sova,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,fade,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,viper,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,astra,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,brimstone,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,raze,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,phoenix,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,harbor,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,jett,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,breach,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,sage,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,tejo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,kayo,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,skye,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,cypher,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,waylay,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,chamber,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,killjoy,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Breeze,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,neon,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,omen,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,vyse,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,sova,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,fade,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,viper,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,astra,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,brimstone,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,raze,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,phoenix,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,harbor,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,jett,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,breach,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,sage,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,tejo,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,kayo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,skye,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,cypher,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,waylay,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,chamber,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,killjoy,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Fracture,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,neon,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,omen,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,vyse,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,sova,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,fade,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,viper,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,astra,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,brimstone,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,raze,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,phoenix,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,harbor,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,jett,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,breach,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,sage,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,tejo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,kayo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,skye,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,cypher,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,waylay,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,chamber,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,killjoy,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Lotus,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,neon,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,omen,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,vyse,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,sova,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,fade,100%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,viper,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,astra,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,brimstone,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,raze,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,phoenix,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,harbor,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,jett,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,breach,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,sage,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,tejo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,kayo,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,skye,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,cypher,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,waylay,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,chamber,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,veto,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,miks,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,reyna,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,killjoy,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,iso,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,gekko,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,deadlock,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,clove,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Semifinals,Split,yoru,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,phoenix,83%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,astra,67%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,neon,67%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,vyse,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,sova,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,fade,50%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,chamber,33%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,viper,33%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,omen,33%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,raze,17%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,yoru,17%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,jett,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,skye,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,waylay,0%
VCT 2026: Americas Stage 1,Playoffs,Upper Final,All Maps,brimstone,0%
